"longitude","latitude","elevation","logElev","Xelevation","XlogElev","lcc_x","lcc_y"
-81.875,28.875,18.1,4.77153172320332,18.1,3.3357695763397,-94.7060917372824,-26.6211459707165
-81.625,28.875,34.5,4.90156419904189,34.5,3.79548918917219,-94.4631436551127,-26.5837160123389
-81.375,28.875,0.1,4.60616968632117,0.1,2.31253542384721,-94.2202994611026,-26.5456178516271
-81.125,28.875,7.2,4.6746962486367,7.2,2.84490938381941,-93.9775609930663,-26.5068517769035
-80.875,28.875,1.8,4.62301010411642,1.8,2.46809953147162,-93.7349300880183,-26.4674180815446
-103.375,29.125,828.5,6.83357038079276,828.5,6.73161458126326,-115.76140848731,-27.0415552371836
-103.125,29.125,649.2,6.61900597056993,649.2,6.49102697859526,-115.51722419799,-27.0620463264152
-100.625,29.125,287.5,5.9597158487934,287.5,5.69541422498568,-113.072636857507,-27.2299839238098
-100.375,29.125,285.2,5.95376267992397,285.2,5.68765309272632,-112.827944379828,-27.2430775579842
-100.125,29.125,306.6,6.00782990119425,306.6,5.75763914744691,-112.583216807797,-27.2554979998589
-99.875,29.125,255.4,5.87324391572055,255.4,5.58123812189811,-112.338455993481,-27.2672451554376
-99.625,29.125,264,5.89715386763674,264,5.61312810638807,-112.0936637892,-27.2783189358193
-99.375,29.125,219.2,5.76581786557565,219.2,5.43459498484058,-111.848842047511,-27.2887192571991
-99.125,29.125,198.1,5.69742900068403,198.1,5.33801873339959,-111.603992621193,-27.2984460408685
-98.875,29.125,200.6,5.70578047731887,200.6,5.34996059969987,-111.359117363237,-27.3074992132166
-98.625,29.125,182.7,5.64438626469954,182.7,5.26113457542032,-111.114218126828,-27.31587870573
-98.375,29.125,177.6,5.62618122863265,177.6,5.23431203657212,-110.869296765332,-27.3235844549937
-98.125,29.125,134.3,5.45660234551375,134.3,4.97189446577983,-110.624355132284,-27.3306164026918
-97.875,29.125,126.7,5.42362755751348,126.7,4.9177887437299,-110.379395081371,-27.3369744956072
-97.625,29.125,133.1,5.45146754604171,133.1,4.9635436865624,-110.134418466421,-27.3426586856226
-97.375,29.125,70.4,5.13814861439522,70.4,4.38701417618492,-109.889427141385,-27.3476689297209
-97.125,29.125,74.7,5.16307021714001,74.7,4.43911560165801,-109.644422960328,-27.3520051899852
-96.875,29.125,35,4.90527477843843,35,3.80666248977032,-109.39940777741,-27.3556674335992
-96.625,29.125,29.5,4.86368088113959,29.5,3.67630067190708,-109.154383446875,-27.3586556328474
-96.375,29.125,27.6,4.84890037091069,27.6,3.62700405039585,-108.909351823038,-27.3609697651156
-96.125,29.125,20.6,4.79247928429309,20.6,3.42100000895834,-108.664314760266,-27.3626098128907
-95.875,29.125,15.1,4.74580131572784,15.1,3.22286784613774,-108.419274112969,-27.3635757637611
-95.625,29.125,7.1,4.6737629774537,7.1,2.83907846350861,-108.174231735585,-27.3638676104164
-95.375,29.125,2.4,4.62888671260541,2.4,2.51769647261099,-107.929189482563,-27.3634853506482
-89.125,29.125,0.1,4.60616968632117,0.1,2.31253542384721,-101.808596442682,-27.134942246036
-82.625,29.125,10,4.70048036579242,10,2.99573227355399,-95.475597169672,-26.451685549938
-82.375,29.125,27.8,4.85046654194343,27.8,3.63230910262554,-95.2331123570298,-26.4163731225714
-82.125,29.125,28.6,4.85670681180352,28.6,3.65325227647079,-94.9907256055203,-26.3803937593008
-81.875,29.125,25.6,4.8331022540341,25.6,3.57234563785798,-94.7484387494963,-26.3437477324135
-81.625,29.125,14.4,4.7397010789457,14.4,3.19458313229916,-94.5062536225542,-26.306435319242
-81.375,29.125,0.1,4.60616968632117,0.1,2.31253542384721,-94.2641720575207,-26.268456802162
-81.125,29.125,12.6,4.72384171570559,12.6,3.11794990627824,-94.0221958864388,-26.2298124685902
-104.125,29.375,744.9,6.7392182771588,744.9,6.62658529014558,-116.467472225042,-26.6968629742205
-103.875,29.375,1042.1,7.04062395205656,1042.1,6.95854344581424,-116.22423350363,-26.7192977310485
-103.625,29.375,892.5,6.90022701256135,892.5,6.80516869020704,-115.980933985174,-26.7410632594769
-103.375,29.375,995,6.9985096422506,995,6.91274282049318,-115.737575510937,-26.7621593947871
-103.125,29.375,862.1,6.86911839536722,862.1,6.77090409623294,-115.494159922623,-26.782585977326
-102.875,29.375,608.4,6.56300890590868,608.4,6.42713549727321,-115.250689062372,-26.8023428525079
-100.875,29.375,309.6,6.0151810737253,309.6,5.76707021389212,-113.301153578854,-26.9362715118426
-100.625,29.375,336.3,6.07833008012956,336.3,5.84730545140838,-113.057268231823,-26.9499949010681
-100.375,29.375,400.1,6.21480807842486,400.1,6.01640103239801,-112.813346054945,-26.9630473160068
-100.125,29.375,378.4,6.17044720263642,378.4,5.96203573641717,-112.569388894194,-26.9754286578797
-99.875,29.375,369.3,6.15124222280037,369.3,5.93832744869485,-112.325398595806,-26.9871388329862
